Row, Timestamp, Series 1, Series 2, Series 4, Series 5, Series 6
728,7.58, , , ,242,224
729,7.59, , , ,242,224
730,7.6, , , ,242,224
731,7.61, , , ,242,225
732,7.62, , , ,242,224
733,7.63, , , ,242,224
734,7.64, , , ,242,224
735,7.65, , , ,242,224
736,7.66, , , ,242,224
737,7.67, , , ,242,224
738,7.68, , , ,242,224
739,7.69, , , ,242,224
740,7.7, , , ,242,224
741,7.71, , , ,242,224
742,7.72, , , ,242,224
743,7.73, , , ,242,224
744,7.74, , , ,242,225
745,7.75, , , ,242,224
746,7.76, , , ,242,224
747,7.77, , , ,242,223
748,7.78, , , ,242,225
749,7.79, , , ,242,225
750,7.8, , , ,242,224
751,7.81, , , ,242,224
752,7.82, , , ,242,224
753,7.83, , , ,242,224
754,7.84, , , ,242,224
755,7.85, , , ,242,224
756,7.86, , , ,242,225
757,7.87, , , ,242,224
758,7.88, , , ,242,224
759,7.89, , , ,242,224
760,7.9, , , ,242,225
761,7.91, , , ,242,225
762,7.92, , , ,242,224
763,7.93, , , ,242,224
764,7.94, , , ,242,224
765,7.95, , , ,242,224
766,7.96, , , ,242,225
767,7.97, , , ,242,224
768,7.98, , , ,242,224
769,7.99, , , ,242,224
770,8, , , ,242,224
771,8.01, , , ,242,224
772,8.02, , , ,242,225
773,8.03, , , ,242,224
774,8.04, , , ,242,224
775,8.05, , , ,242,224
776,8.06, , , ,242,224
777,8.07, , , ,242,225
778,8.08, , , ,242,224
779,8.28, , , ,242,246
780,8.29, , , ,242,510
781,8.3, , , ,242,930
782,8.31, , , ,242,1308
783,8.32, , , ,242,1582
784,8.33, , , ,242,1710
785,8.34, , , ,242,1636
786,8.35, , , ,242,1300
787,8.36, , , ,242,557
788,8.37, , , ,242,662
789,8.38, , , ,242,423
790,8.39, , , ,242,372
791,8.4, , , ,242,353
792,8.41, , , ,244,309
793,8.42, , , ,248,264
794,8.43, , , ,252,230
795,8.44, , , ,256,219
796,8.45, , , ,260,223
797,8.46, , , ,264,224
798,8.47, , , ,268,224
799,8.48, , , ,272,222
800,8.49, , , ,276,221
801,8.5, , , ,280,220
802,8.51, , , ,284,221
803,8.52, , , ,288,222
804,8.53, , , ,292,223
805,8.54, , , ,296,224
806,8.55, , , ,299,224
807,8.56, , , ,303,224
808,8.57, , , ,306,222
809,8.58, , , ,310,223
810,8.59, , , ,314,222
811,8.6, , , ,318,222
812,8.61, , , ,321,222
813,8.62, , , ,325,222
814,8.63, , , ,328,222
815,8.64, , , ,332,222
816,8.65, , , ,336,222
817,8.66, , , ,339,222
818,8.67, , , ,342,222
819,8.68, , , ,346,222
820,8.69, , , ,349,222
821,8.7, , , ,352,222
822,8.71, , , ,356,222
823,8.72, , , ,358,222
824,8.73, , , ,362,222
825,8.74, , , ,365,222
826,8.75, , , ,368,222
827,8.76, , , ,371,222
828,8.77, , , ,374,220
829,8.78, , , ,377,222
830,8.79, , , ,380,222
831,8.8, , , ,384,222
832,8.81, , , ,421,223
833,8.82, , , ,404,1906
834,8.83, , , ,408,3018
835,8.84, , , ,410,3030
836,8.85, , , ,416,3024
837,8.86, , , ,420,3029
838,8.87, , , ,420,3026
839,8.88, , , ,421,3017
840,8.89, , , ,421,3021
841,9.09, , , ,495,3049
842,9.1, , , ,500,3050
843,9.11, , , ,506,3051
844,9.12, , , ,512,3053
845,9.13, , , ,517,3054
846,9.14, , , ,522,3056
847,9.15, , , ,527,3056
848,9.16, , , ,532,3057
849,9.17, , , ,538,3056
850,9.18, , , ,543,3055
851,9.19, , , ,548,3052
852,9.2, , , ,553,3051
853,9.21, , , ,558,3046
854,9.22, , , ,562,3045
855,9.23, , , ,568,3041
856,9.24, , , ,572,3037
857,9.25, , , ,577,3032
858,9.26, , , ,582,3025
859,9.27, , , ,586,3013
860,9.28, , , ,590,2992
861,9.29, , , ,595,2965
862,9.3, , , ,600,2929
863,9.31, , , ,604,2875
864,9.32, , , ,608,2793
865,9.33, , , ,612,2654
866,9.34, , , ,616,2394
867,9.35, , , ,621,2161
868,9.36, , , ,624,1837
869,9.37, , , ,628,1336
870,9.38, , , ,632,853
871,9.39, , , ,636,232
872,9.4, , , ,640,224
873,9.41, , , ,644,798
874,9.42, , , ,648,1047
875,9.43, , , ,652,953
876,9.44, , , ,656,1138
877,9.45, , , ,659,1052
878,9.46, , , ,663,943
879,9.47, , , ,666,740
880,9.48, , , ,670,517
881,9.49, , , ,674,342
882,9.5, , , ,677,242
883,9.51, , , ,680,230
884,9.52, , , ,684,237
885,9.53, , , ,688,248
886,9.54, , , ,691,261
887,9.55, , , ,694,266
888,9.56, , , ,698,265
889,9.57, , , ,701,253
890,9.58, , , ,704,237
891,9.59, , , ,708,224
892,9.6, , , ,710,220
893,9.61, , , ,714,225
894,9.62, , , ,716,228
895,9.63, , , ,720,230
896,9.64, , , ,722,228
897,9.65, , , ,726,227
898,9.66, , , ,728,222
899,9.67, , , ,732,221
900,9.68, , , ,734,221
901,9.69, , , ,738,221
902,9.7, , , ,741,221
903,9.71, , , ,744,221
904,9.72, , , ,780,221
905,9.73, , , ,772,2314
906,9.74, , , ,772,3029
