Row, Timestamp, Series 4
1282, 14.476, 
1283, 14.487, 
1284, 14.497, 
1285, 14.507, 
1286, 14.521, 
1287, 14.532, 
1288, 14.542, 
1289, 14.552, 
1290, 14.566, 
1291, 14.577, 
1292, 14.587, 
1293, 14.597, 
1294, 14.611, 
1295, 14.622, 
1296, 14.632, 
1297, 14.642, 
1298, 14.652, 
1299, 14.662, 
1300, 14.672, 
1301, 14.682, 
1302, 14.692, 
1303, 14.702, 
1304, 14.716, 
1305, 14.727, 
1306, 14.737, 
1307, 14.747, 
1308, 14.761, 
1309, 14.772, 
1310, 14.782, 
1311, 14.792, 
1312, 14.802, 
1313, 14.812, 
1314, 14.822, 
1315, 14.836, 
1316, 14.847, 
1317, 14.857, 
1318, 14.867, 
1319, 14.881, 
1320, 14.892, 
1321, 14.902, 
1322, 14.912, 
1323, 14.926, 
1324, 14.937, 
1325, 14.947, 
1326, 14.957, 
1327, 14.967, 
1328, 14.977, 
1329, 14.987, 
1330, 14.999, 
1331, 15.009, 
1332, 15.019, 
1333, 15.031, 
1334, 15.042, 
1335, 15.052, 
1336, 15.062, 
1337, 15.076, 
1338, 15.087, 
1339, 15.097, 
1340, 15.107, 
1341, 15.120, 
1342, 15.130, 
1343, 15.140, 
1344, 15.151, 
1345, 15.162, 
1346, 15.172, 
1347, 15.182, 
1348, 15.196, 
1349, 15.207, 
1350, 15.217, 
1351, 15.227, 
1352, 15.241, 
1353, 15.252, 
1354, 15.262, 
1355, 15.272, 
1356, 15.286, 
1357, 15.297, 
1358, 15.307, 
1359, 15.317, 
1360, 15.331, 
1361, 15.342, 
1362, 15.352, 
1363, 15.362, 
1364, 15.376, 
1365, 15.387, 
1366, 15.397, 
1367, 15.407, 
1368, 15.421, 
1369, 15.432, 
1370, 15.442, 
1371, 15.452, 
1372, 15.466, 
1373, 15.477, 
1374, 15.487, 
1375, 15.497, 
1376, 15.511, 
1377, 15.522, 
1378, 15.532, 
1379, 15.542, 
1380, 15.556, 
1381, 15.567, 
1382, 15.577, 
1383, 15.587, 
1384, 15.597, 
1385, 15.607, 
1386, 15.617, 
1387, 15.627, 
1388, 15.637, 
1389, 15.647, 
1390, 15.661, 
1391, 15.672, 
1392, 15.682, 
1393, 15.692, 
